Date,Price,Open,High,Low,Vol.,Change %
10/17/2024,"2,691.00","2,677.40","2,691.70","2,677.20",0.03K,0.64%
10/16/2024,"2,674.00","2,674.00","2,674.00","2,674.00",0.01K,0.47%
10/15/2024,"2,661.40","2,661.40","2,661.40","2,661.40",0.04K,0.51%
10/14/2024,"2,647.80","2,655.00","2,655.30","2,647.80",0.04K,-0.37%
10/11/2024,"2,657.60","2,638.30","2,658.10","2,638.20",0.01K,1.41%
10/10/2024,"2,620.60","2,602.50","2,628.30","2,602.50",0.32K,0.56%
10/09/2024,"2,606.00","2,603.00","2,607.70","2,603.00",0.15K,-0.34%
10/08/2024,"2,615.00","2,639.00","2,639.00","2,609.30",0.69K,-1.13%
10/07/2024,"2,644.80","2,648.70","2,657.40","2,639.00",0.28K,-0.04%
10/04/2024,"2,645.80","2,656.00","2,667.00","2,639.00",0.11K,-0.43%
10/03/2024,"2,657.10","2,642.80","2,657.10","2,640.00",0.35K,0.38%
10/02/2024,"2,647.10","2,650.60","2,657.20","2,640.00",0.07K,-0.76%
10/01/2024,"2,667.30","2,631.40","2,670.90","2,631.40",0.15K,1.18%
09/30/2024,"2,636.10","2,660.90","2,662.10","2,623.20",0.97K,-0.31%
09/27/2024,"2,644.30","2,670.00","2,672.10","2,641.70",4.23K,-0.96%
09/26/2024,"2,669.90","2,662.30","2,669.90","2,660.80",17.22K,0.40%
09/25/2024,"2,659.20","2,656.30","2,664.20","2,649.30",0.17K,0.30%
09/24/2024,"2,651.20","2,636.80","2,662.30","2,625.50",0.04K,0.94%
09/23/2024,"2,626.50","2,626.50","2,626.50","2,626.50",0.01K,0.25%
09/20/2024,"2,619.90","2,590.40","2,621.80","2,590.40",0.02K,1.23%
09/19/2024,"2,588.00","2,566.00","2,588.00","2,566.00",0.10K,0.67%
09/18/2024,"2,570.70","2,570.70","2,570.70","2,549.20",0.03K,0.25%
09/17/2024,"2,564.30","2,581.20","2,581.80","2,564.30",0.02K,-0.62%
09/16/2024,"2,580.40","2,580.40","2,580.40","2,580.40",0.03K,-0.03%
09/13/2024,"2,581.30","2,568.80","2,581.80","2,565.00",0.03K,1.18%
09/12/2024,"2,551.20","2,529.10","2,557.00","2,523.40",0.13K,1.56%
09/11/2024,"2,512.10","2,525.80","2,525.80","2,502.30",0.09K,-0.01%
09/10/2024,"2,512.30","2,512.30","2,512.30","2,512.30",0.01K,0.42%
09/09/2024,"2,501.80","2,491.30","2,504.70","2,491.30",0.10K,0.33%
09/06/2024,"2,493.50","2,510.30","2,517.90","2,483.70",0.10K,-0.71%
09/05/2024,"2,511.40","2,493.70","2,513.30","2,493.40",0.05K,0.72%
09/04/2024,"2,493.40","2,490.90","2,493.40","2,483.50",0.47K,0.14%
09/03/2024,"2,489.90","2,501.60","2,501.80","2,476.30",0.21K,-0.16%
08/30/2024,"2,493.80","2,519.50","2,525.40","2,493.80",0.21K,-1.26%
08/29/2024,"2,525.70","2,504.10","2,525.70","2,503.90",3.97K,0.99%
08/28/2024,"2,501.00","2,501.00","2,501.00","2,501.00",2.35K,-0.60%
08/27/2024,"2,516.00","2,515.20","2,523.10","2,506.90",0.10K,-0.07%
08/26/2024,"2,517.70","2,509.90","2,523.10","2,509.10",0.29K,0.37%
08/23/2024,"2,508.40","2,486.50","2,508.40","2,486.50",0.09K,1.19%
08/22/2024,"2,478.90","2,504.10","2,504.10","2,471.10",0.21K,-1.18%
08/21/2024,"2,508.40","2,511.00","2,515.40","2,503.90",0.10K,-0.12%
08/20/2024,"2,511.30","2,503.50","2,527.30","2,500.70",0.19K,0.38%
08/19/2024,"2,501.80","2,508.50","2,508.50","2,487.20",0.09K,0.13%
08/16/2024,"2,498.60","2,453.50","2,508.00","2,451.40",0.20K,1.85%
08/15/2024,"2,453.10","2,451.80","2,467.70","2,431.20",0.28K,0.56%
08/14/2024,"2,439.40","2,468.00","2,472.10","2,439.40",0.27K,-1.11%
08/13/2024,"2,466.70","2,461.00","2,470.00","2,456.50",0.51K,0.17%
08/12/2024,"2,462.40","2,432.70","2,469.80","2,432.00",0.57K,1.25%
08/09/2024,"2,432.10","2,422.30","2,432.10","2,418.50",0.61K,0.41%
08/08/2024,"2,422.20","2,384.30","2,422.80","2,384.30",0.20K,1.33%
08/07/2024,"2,390.50","2,392.20","2,401.00","2,384.50",0.13K,0.06%
08/06/2024,"2,389.10","2,414.50","2,421.80","2,380.00",0.16K,-0.52%
08/05/2024,"2,401.70","2,442.00","2,449.80","2,367.40",0.33K,-0.99%
08/02/2024,"2,425.70","2,444.00","2,477.00","2,416.00",0.55K,-0.38%
08/01/2024,"2,435.00","2,446.70","2,455.10","2,430.40",0.69K,0.35%
07/31/2024,"2,426.50","2,407.10","2,447.60","2,402.80",1.31K,0.89%
07/30/2024,"2,405.00","2,380.90","2,409.30","2,373.80",25.94K,1.17%
07/29/2024,"2,377.30","2,377.30","2,377.30","2,377.30",126.41K,-0.11%
07/26/2024,"2,380.00","2,368.70","2,386.90","2,368.70",0.10K,1.19%
07/25/2024,"2,351.90","2,365.50","2,365.50","2,351.90",0.03K,-2.54%
